date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:26:31	44134/44134	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202019%2022:26:28%20GMT	https://dayday.plus/	H:/DayDay.Plus/2019-12-10/dayday.plus/index.html	(from )
23:26:31	67/67	---MC-	200	added ('OK')	text/plain	date:Tue,%2010%20Dec%202019%2022:26:27%20GMT	https://dayday.plus/robots.txt		(from )
23:26:32	6417/6417	---MC-	200	added ('OK')	application/rss+xml	etag:%22753ebcbda3b77524e99fe0926df1f39d%22	https://dayday.plus/comments/feed	H:/DayDay.Plus/2019-12-10/dayday.plus/comments/feed	(from https://dayday.plus/)
23:26:32	49989/49989	---MC-	200	added ('OK')	application/rss+xml	etag:%22a6f4ffb40f2fdc84ee320035027ac882%22	https://dayday.plus/feed	H:/DayDay.Plus/2019-12-10/dayday.plus/feed	(from https://dayday.plus/)
23:26:33	7302/7302	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202019%2004:45:30%20GMT	https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/magnific-popup/magnific-popup.css?ver=4.9.12	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/themes/minimal-grid/assets/lib/magnific-popup/magnific-popupd8f3.css	(from https://dayday.plus/)
23:26:34	1297/1297	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202019%2004:45:30%20GMT	https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/slick/css/slick.min.css?ver=4.9.12	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/themes/minimal-grid/assets/lib/slick/css/slick.mind8f3.css	(from https://dayday.plus/)
23:26:34	51284/51284	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202019%2004:45:30%20GMT	https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/ionicons/css/ionicons.min.css?ver=4.9.12	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/themes/minimal-grid/assets/lib/ionicons/css/ionicons.mind8f3.css	(from https://dayday.plus/)
23:26:34	11232/11232	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Aug%202017%2016:59:48%20GMT	https://dayday.plus/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.6-78496d1	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-includes/js/mediaelement/mediaelementplayer-legacy.min45a0.css	(from https://dayday.plus/)
23:26:34	4068/4068	---M--	200	added ('OK')	text/css	date:Mon,%2016%20Oct%202017%2020:32:48%20GMT	https://dayday.plus/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=4.9.12	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-includes/js/mediaelement/wp-mediaelement.mind8f3.css	(from https://dayday.plus/)
23:26:34	121260/121260	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202019%2004:45:30%20GMT	https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/bootstrap/css/bootstrap.min.css?ver=4.9.12	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/themes/minimal-grid/assets/lib/bootstrap/css/bootstrap.mind8f3.css	(from https://dayday.plus/)
